TAREAS,FECHA INICIO,FECHA DE FINAL,PRIORIDAD,ESTADO
CR 57411,01/02/2023,01/04/2023,BAJA,FINALIZADO
CR 57406 - Buje bieleta barra estabilizadora S.Neu,06/02/2023,30/05/2023,BAJA,FINALIZADO
CR 57510 - Torque en racor motor C9,15/02/2023,15/04/2023,BAJA,FINALIZADO
CR 57570 - distancial alternador C13,02/03/2023,27/04/2023,BAJA,FINALIZADO
CR 57685 - PHASE OUT CAJA CURSOR,01/03/2023,30/07/2023,BAJA,FINALIZADO
CR 57516 Bolsa dotacion,01/03/2023,30/06/2023,BAJA,FINALIZADO
"CR 57614 Tuberia de direccion, cursor Hi-Land",01/03/2023,30/06/2023,BAJA,FINALIZADO
CR 57661 Analisis de tuberias de direccion unificadas,01/03/2023,31/08/2023,BAJA,FINALIZADO
CR 57658 Update design for poliamide tube,01/03/2023,30/04/2023,BAJA,FINALIZADO
CR 57747 - Unificación cubo de rueda BRA-ARG,01/04/2023,31/05/2023,BAJA,FINALIZADO
CR 57786 - Cambio de FT cable de masa Heavy,05/04/2023,12/05/2023,BAJA,FINALIZADO
CR 57044 - cables protección muffler trakker PERU,12/04/2023,10/05/2023,BAJA,FINALIZADO
CR 57042 - cables protección muffler,12/04/2023,24/05/2023,BAJA,FINALIZADO
CR 57853 - EBS support,14/04/2023,17/08/2023,BAJA,FINALIZADO
CR 57899 - Archetipo for ecu ECAS heavy,20/04/2023,31/05/2023,BAJA,FINALIZADO
PLANNING,25/04/2023,21/09/2023,BAJA,FINALIZADO
CR 56719,19/04/2023,19/10/2023,BAJA,FINALIZADO
CR 57845 - PHASE OUT COMPONENTES CHASIS HEAVY,17/04/2023,25/09/2023,BAJA,FINALIZADO
CR 56835 - Interferencia tuberías a cabina RSU allison,05/05/2023,30/06/2023,BAJA,FINALIZADO
CR 57986,02/05/2023,02/10/2023,BAJA,FINALIZADO
CR 58024 - Soporte rebatimiento de cabina Tector,11/05/2023,30/06/2023,BAJA,FINALIZADO
CR 58067 - Phase out APU,22/05/2023,30/04/2024,BAJA,FINALIZADO
CR  58194 - actualización diseño fusiblera y mazo cable cabina heavy,08/06/2023,28/07/2023,BAJA,FINALIZADO
CR 57942 - Eliminacion punteras traversa de cierre,01/05/2023,29/12/2023,BAJA,FINALIZADO
CR 58200 - Rear fender rework (air suspension 6x2),07/06/2023,01/09/2023,BAJA,FINALIZADO
CR 58211 - New heat deflector - MKT Argentina,07/06/2023,29/12/2023,BAJA,FINALIZADO
Traxon Gearbox Euro V,16/06/2023,31/12/2024,BAJA,FINALIZADO
Auxiliar de PMO,01/06/2023,31/12/2023,BAJA,FINALIZADO
CR 58197 - Rotura soporte motor Tector,01/06/2023,31/10/2023,BAJA,FINALIZADO
Ayuda actividades Neumaticas BRASIL,01/06/2023,30/06/2023,BAJA,FINALIZADO
CR 57992 Correction of torque for fixation of hydraulic conector in the pump,01/05/2023,31/08/2023,BAJA,FINALIZADO
CR 55360 - Eliminación refuerzo interno de la traversa final,02/08/2021,29/12/2023,BAJA,FINALIZADO
CR 58381 - Rear bumper TRACTOR HEAVY,06/07/2023,30/06/2024,BAJA,FINALIZADO
CR 58382 - EPM 1325 - Interference between screw and plastic battery platform,07/07/2023,30/11/2023,BAJA,FINALIZADO
CR 58024 - Oblongos cabeza de vaca,19/07/2023,18/08/2023,BAJA,FINALIZADO
CR 56969 - Phase out cable chasis tector GNC,19/07/2023,31/08/2023,BAJA,FINALIZADO
CR 58531 - EPM 1300 - change of nut in cab stairs brace,04/08/2023,05/01/2024,BAJA,FINALIZADO
